timestamp,VTHO,PLA,OCE,SHA,DBET,EHrT,TIC,YEET,Other
1550695480000,934330.36,1262648.74,0.00,2785575.35,360565.41,0.00,33028.87,0.00,0.00
1550705480000,934121.90,1263494.88,0.00,2785575.35,360565.41,0.00,33028.87,0.00,0.00
1550715480000,926666.06,1256201.31,0.00,2785750.36,360565.41,0.00,33028.87,0.00,0.00
1550725480000,926449.28,1241701.27,0.00,2785750.36,360565.41,0.00,33028.87,0.00,0.00
1550735600000,915950.25,1265844.75,0.00,2785750.36,360565.41,0.00,33028.87,0.00,0.00
1550745610000,937437.58,1148602.45,0.00,2785486.90,360565.41,0.00,33028.87,0.00,0.00
1550755670000,946748.25,1148886.82,0.00,2785486.90,360565.41,0.00,33028.87,0.00,0.00
1550765670000,904097.04,1234337.52,0.00,2785486.90,360565.41,0.00,33028.87,0.00,0.00
1550775670000,915454.92,1167713.87,0.00,2604164.88,360565.41,0.00,33028.87,0.00,0.00
1550785670000,912457.85,1209009.92,0.00,2605012.72,360565.41,0.00,33028.87,0.00,0.00
1550795670000,933739.62,1242615.15,0.00,2705548.52,360565.41,0.00,33028.87,0.00,0.00
1550805670000,942983.18,1231533.94,0.00,2705548.52,360565.41,0.00,33028.87,0.00,0.00
1550815670000,934808.55,1204375.52,0.00,2705548.52,365037.25,0.00,33028.87,0.00,0.00
1550825690000,931747.21,1155474.96,0.00,2677612.56,364836.34,0.00,33028.87,0.00,0.00
1550835690000,950901.88,1180476.26,0.00,2677613.56,364836.34,0.00,33030.87,0.00,0.00
1550845690000,950805.67,1200331.87,0.00,2677398.88,365481.18,0.00,33030.87,0.00,0.00
1550855710000,940561.44,1204345.11,0.00,2707398.88,365481.18,0.00,33030.87,0.00,0.00
1550865710000,925425.02,1247315.40,0.00,2707398.88,365481.18,0.00,33030.87,0.00,0.00
1550875710000,907258.17,1305256.97,0.00,2710581.81,364836.34,0.00,33030.87,0.00,0.00
1550885710000,926963.47,1455260.28,0.00,2660753.11,364836.34,0.00,33030.87,0.00,0.00
1550895710000,926075.66,1445921.04,0.00,2660753.11,364836.34,0.00,33030.87,0.00,0.00
1550905710000,914350.75,1315302.23,0.00,2668253.11,364836.34,0.00,33030.87,0.00,0.00
1550915710000,909681.47,1364801.57,0.00,2768253.11,465941.88,0.00,33030.87,0.00,0.00
1550925710000,919671.47,1364801.57,0.00,2768253.11,465941.88,0.00,33030.87,0.00,0.00
1550935710000,926093.20,1328349.16,0.00,2709839.92,465941.88,0.00,33027.05,0.00,0.00
1550945710000,947541.45,1278147.46,0.00,2724500.32,465941.88,0.00,33027.05,0.00,0.00
